Freq.	V(vout)
0.00000000000000e+000	-1.29007710193529e+001,1.29594251015187e-006
5.00000000000000e+000	-1.98822360035800e+001,2.13457002960986e-006
1.00000000000000e+001	-3.00642968450891e+001,3.59429298850959e-006
1.50000000000000e+001	-4.45655207217716e+001,6.22063886077347e-006
2.00000000000000e+001	-6.46724581505677e+001,1.11725571186264e-005
2.50000000000000e+001	-9.17086624006958e+001,2.13151249968551e-005
3.00000000000000e+001	-1.26793900421726e+002,4.72886921760835e-005
3.50000000000000e+001	-1.42180825994353e+001,1.90449858866500e-006
4.00000000000000e+001	-2.02299507298284e+000,8.88672613343050e-008
4.50000000000000e+001	-9.86604295994883e-001,3.71651349470944e-008
5.00000000000000e+001	-6.13458709841816e-001,2.25852952682945e-008
5.50000000000000e+001	-4.25133343964596e-001,1.60048802522888e-008
6.00000000000000e+001	-3.13454924323422e-001,1.23264572330913e-008
