Freq.	V(vout)
0.00000000000000e+000	-9.01839149301698e+000,1.03662919810486e-005
1.00000000000000e+000	-9.02273186632619e+000,1.04167706608028e-005
2.00000000000000e+000	-9.02700366439572e+000,1.04677859521100e-005
3.00000000000000e+000	-9.03120847045742e+000,1.05193507788476e-005
4.00000000000000e+000	-9.03534781986486e+000,1.05714784946706e-005
5.00000000000000e+000	-9.03942320188331e+000,1.06241829020213e-005
6.00000000000000e+000	-9.04343606136602e+000,1.06774782720827e-005
7.00000000000000e+000	-9.04738780040461e+000,1.07313793658166e-005
8.00000000000000e+000	-9.05127977987421e+000,1.07859014560902e-005
9.00000000000000e+000	-9.05511332091631e+000,1.08410603509753e-005
1.00000000000000e+001	-9.05888970638117e+000,1.08968724183543e-005
1.10000000000000e+001	-9.06261018218171e+000,1.09533546118236e-005
1.20000000000000e+001	-9.06627595860257e+000,1.10105244980500e-005
1.30000000000000e+001	-9.06988821154957e+000,1.10684002856791e-005
1.40000000000000e+001	-9.07344808376229e+000,1.11270008558654e-005
1.50000000000000e+001	-9.07695668595522e+000,1.11863457945515e-005
1.60000000000000e+001	-9.08041509792669e+000,1.12464554266377e-005
1.70000000000000e+001	-9.08382436961571e+000,1.13073508521421e-005
1.80000000000000e+001	-9.08718552212408e+000,1.13690539845330e-005
1.90000000000000e+001	-9.09049954868004e+000,1.14315875913026e-005
2.00000000000000e+001	-9.09376741558713e+000,1.14949753371098e-005
2.10000000000000e+001	-9.09699006312206e+000,1.15592418294808e-005
2.20000000000000e+001	-9.10016840638001e+000,1.16244126673757e-005
2.30000000000000e+001	-9.10330333613625e+000,1.16905144928786e-005
2.40000000000000e+001	-9.10639571962109e+000,1.17575750460775e-005
2.50000000000000e+001	-9.10944640128311e+000,1.18256232235517e-005
2.60000000000000e+001	-9.11245620355153e+000,1.18946891406626e-005
2.70000000000000e+001	-9.11542592751563e+000,1.19648041979199e-005
2.80000000000000e+001	-9.11835635362020e+000,1.20360011518492e-005
2.90000000000000e+001	-9.12124824232659e+000,1.21083141905799e-005
3.00000000000000e+001	-9.12410233473838e+000,1.21817790146895e-005
3.10000000000000e+001	-9.12691935319977e+000,1.22564329235710e-005
3.20000000000000e+001	-9.12970000189880e+000,1.23323149079540e-005
3.30000000000000e+001	-9.13244496742274e+000,1.24094657489563e-005
3.40000000000000e+001	-9.13515491929162e+000,1.24879281242757e-005
3.50000000000000e+001	-9.13783051049597e+000,1.25677467221880e-005
3.60000000000000e+001	-9.14047237799418e+000,1.26489683639136e-005
3.70000000000000e+001	-9.14308114320059e+000,1.27316421352613e-005
3.80000000000000e+001	-9.14565741244081e+000,1.28158195281547e-005
3.90000000000000e+001	-9.14820177742573e+000,1.29015545932487e-005
4.00000000000000e+001	-9.15071481567114e+000,1.29889041043044e-005
4.10000000000000e+001	-9.15319709092645e+000,1.30779277357694e-005
4.20000000000000e+001	-9.15564915357214e+000,1.31686882545002e-005
4.30000000000000e+001	-9.15807154101216e+000,1.32612517272670e-005
4.40000000000000e+001	-9.16046477806446e+000,1.33556877454491e-005
4.50000000000000e+001	-9.16282937730505e+000,1.34520696685546e-005
4.60000000000000e+001	-9.16516583943487e+000,1.35504748886472e-005
4.70000000000000e+001	-9.16747465361890e+000,1.36509851177187e-005
4.80000000000000e+001	-9.16975629781104e+000,1.37536867003333e-005
4.90000000000000e+001	-9.17201123906585e+000,1.38586709543959e-005
5.00000000000000e+001	-9.17423993385888e+000,1.39660345428712e-005
5.10000000000000e+001	-9.17644282837477e+000,1.40758798800005e-005
5.20000000000000e+001	-9.17862035879553e+000,1.41883155757327e-005
5.30000000000000e+001	-9.18077295157343e+000,1.43034569227536e-005
5.40000000000000e+001	-9.18290102370780e+000,1.44214264310468e-005
5.50000000000000e+001	-9.18500498300037e+000,1.45423544154324e-005
5.60000000000000e+001	-9.18708522830065e+000,1.46663796425545e-005
5.70000000000000e+001	-9.18914214975789e+000,1.47936500445010e-005
5.80000000000000e+001	-9.19117612905207e+000,1.49243235071344e-005
5.90000000000000e+001	-9.19318753961483e+000,1.50585687429215e-005
6.00000000000000e+001	-9.19517674686986e+000,1.51965662588060e-005
