time	V(vout)
0.000000000000000e+000	-3.000093e-003
1.428571445265854e-008	-3.000062e-003
2.857142890531708e-008	-3.000066e-003
4.285714335797562e-008	-3.000105e-003
5.714285781063416e-008	-3.000177e-003
7.142857226329269e-008	-3.000284e-003
8.571428671595124e-008	-3.000425e-003
1.000000011686097e-007	-3.000600e-003
8.000000093488779e-007	-3.057347e-003
1.600000018697756e-006	-3.230828e-003
3.200000037395512e-006	-3.892493e-003
6.400000074791024e-006	-6.078037e-003
9.968689828172818e-006	-9.698237e-003
1.508471708199459e-005	-1.668769e-002
2.107076309626131e-005	-2.681084e-002
2.953829517599214e-005	-4.349094e-002
3.930392017599214e-005	-6.464636e-002
4.906954517599214e-005	-8.696066e-002
5.883517017599214e-005	-1.097595e-001
6.860079517599214e-005	-1.325829e-001
7.836642017599213e-005	-1.551458e-001
8.813204517599213e-005	-1.772570e-001
1.076632951759921e-004	-2.195942e-001
1.271945451759921e-004	-2.587543e-001
1.467257951759921e-004	-2.940904e-001
1.662570451759922e-004	-3.250548e-001
1.857882951759922e-004	-3.511770e-001
2.053195451759922e-004	-3.720628e-001
2.248507951759922e-004	-3.873978e-001
2.443820451759922e-004	-3.969510e-001
2.639132951759922e-004	-4.005789e-001
2.834445451759922e-004	-3.982269e-001
3.029757951759923e-004	-3.899302e-001
3.225070451759923e-004	-3.758138e-001
3.420382951759923e-004	-3.560899e-001
3.615695451759923e-004	-3.310552e-001
3.811007951759923e-004	-3.010863e-001
4.006320451759923e-004	-2.666338e-001
4.201632951759924e-004	-2.282161e-001
4.396945451759924e-004	-1.864109e-001
4.592257951759924e-004	-1.418470e-001
4.787570451759924e-004	-9.519479e-002
4.982882951759924e-004	-4.715585e-002
5.178195451759924e-004	1.547241e-003
5.373507951759925e-004	5.018193e-002
5.568820451759925e-004	9.801672e-002
5.764132951759925e-004	1.443321e-001
5.959445451759925e-004	1.884315e-001
6.154757951759925e-004	2.296516e-001
6.350070451759926e-004	2.673724e-001
6.545382951759926e-004	3.010265e-001
6.740695451759926e-004	3.301077e-001
6.936007951759926e-004	3.541788e-001
7.131320451759926e-004	3.728775e-001
7.326632951759926e-004	3.859227e-001
7.521945451759927e-004	3.931181e-001
7.717257951759927e-004	3.943555e-001
7.912570451759927e-004	3.896164e-001
8.107882951759927e-004	3.789719e-001
8.303195451759927e-004	3.625822e-001
8.498507951759927e-004	3.406938e-001
8.693820451759928e-004	3.136359e-001
8.889132951759928e-004	2.818156e-001
9.084445451759928e-004	2.457113e-001
9.279757951759928e-004	2.058662e-001
9.475070451759928e-004	1.628795e-001
9.670382951759928e-004	1.173979e-001
9.865695451759928e-004	7.010532e-002
1.006100795175993e-003	2.171321e-002
1.025632045175993e-003	-2.705062e-002
1.045163295175993e-003	-7.545270e-002
1.064694545175993e-003	-1.227650e-001
1.084225795175993e-003	-1.682760e-001
1.103757045175993e-003	-2.113010e-001
1.123288295175993e-003	-2.511930e-001
1.142819545175993e-003	-2.873520e-001
1.162350795175993e-003	-3.192340e-001
1.181882045175993e-003	-3.463596e-001
1.201413295175993e-003	-3.683208e-001
1.220944545175993e-003	-3.847871e-001
1.240475795175993e-003	-3.955111e-001
1.260007045175993e-003	-4.003313e-001
1.279538295175993e-003	-3.991753e-001
1.299069545175993e-003	-3.920604e-001
1.318600795175993e-003	-3.790937e-001
1.338132045175993e-003	-3.604702e-001
1.357663295175993e-003	-3.364701e-001
1.377194545175993e-003	-3.074542e-001
1.396725795175993e-003	-2.738591e-001
1.416257045175993e-003	-2.361899e-001
1.435788295175993e-003	-1.950134e-001
1.455319545175993e-003	-1.509489e-001
1.474850795175993e-003	-1.046590e-001
1.494382045175993e-003	-5.684010e-002
1.513913295175993e-003	-8.211400e-003
1.533444545175993e-003	4.049569e-002
1.552975795175993e-003	8.854856e-002
1.572507045175993e-003	1.352244e-001
1.592038295175993e-003	1.798213e-001
1.611569545175993e-003	2.216684e-001
1.631100795175993e-003	2.601362e-001
1.650632045175993e-003	2.946462e-001
1.670163295175993e-003	3.246794e-001
1.689694545175993e-003	3.497839e-001
1.709225795175993e-003	3.695822e-001
1.728757045175993e-003	3.837766e-001
1.748288295175993e-003	3.921535e-001
1.767819545175993e-003	3.945869e-001
1.787350795175994e-003	3.910402e-001
1.806882045175994e-003	3.815668e-001
1.826413295175994e-003	3.663091e-001
1.845944545175994e-003	3.454967e-001
1.865475795175994e-003	3.194426e-001
1.885007045175994e-003	2.885386e-001
1.904538295175994e-003	2.532496e-001
1.924069545175994e-003	2.141064e-001
1.943600795175994e-003	1.716977e-001
1.963132045175993e-003	1.266614e-001
1.982663295175993e-003	7.967486e-002
2.002194545175993e-003	3.144481e-002
2.021725795175992e-003	-1.730333e-002
2.041257045175992e-003	-6.583634e-002
2.060788295175991e-003	-1.134242e-001
2.080319545175991e-003	-1.593512e-001
2.099850795175991e-003	-2.029266e-001
2.119382045175990e-003	-2.434948e-001
2.138913295175990e-003	-2.804458e-001
2.158444545175989e-003	-3.132238e-001
2.177975795175989e-003	-3.413357e-001
2.197507045175988e-003	-3.643587e-001
2.217038295175988e-003	-3.819466e-001
2.236569545175988e-003	-3.938347e-001
2.256100795175987e-003	-3.998443e-001
2.275632045175987e-003	-3.998850e-001
2.295163295175986e-003	-3.939562e-001
2.314694545175986e-003	-3.821471e-001
2.334225795175986e-003	-3.646352e-001
2.353757045175985e-003	-3.416840e-001
2.373288295175985e-003	-3.136387e-001
2.392819545175984e-003	-2.809211e-001
2.412350795175984e-003	-2.440233e-001
2.431882045175983e-003	-2.035003e-001
2.451413295175983e-003	-1.599616e-001
2.470944545175983e-003	-1.140620e-001
2.490475795175982e-003	-6.649192e-002
2.510007045175982e-003	-1.796690e-002
2.529538295175981e-003	3.078323e-002
2.549069545175981e-003	7.902524e-002
2.568600795175981e-003	1.260335e-001
2.588132045175980e-003	1.711010e-001
2.607663295175980e-003	2.135498e-001
2.627194545175979e-003	2.527415e-001
2.646725795175979e-003	2.880867e-001
2.666257045175978e-003	3.190536e-001
2.685788295175978e-003	3.451765e-001
2.705319545175978e-003	3.660626e-001
2.724850795175977e-003	3.813975e-001
2.744382045175977e-003	3.909508e-001
2.763913295175976e-003	3.945788e-001
2.783444545175976e-003	3.922267e-001
2.802975795175976e-003	3.839301e-001
2.822507045175975e-003	3.698136e-001
2.842038295175975e-003	3.500897e-001
2.861569545175974e-003	3.250551e-001
2.881100795175974e-003	2.950861e-001
2.900632045175973e-003	2.606336e-001
2.920163295175973e-003	2.222159e-001
2.939694545175973e-003	1.804107e-001
2.959225795175972e-003	1.358469e-001
2.978757045175972e-003	8.919461e-002
2.998288295175971e-003	4.115566e-002
3.017819545175971e-003	-7.547427e-003
3.037350795175971e-003	-5.618212e-002
3.056882045175970e-003	-1.040169e-001
3.076413295175970e-003	-1.503323e-001
3.095944545175969e-003	-1.944317e-001
3.115475795175969e-003	-2.356518e-001
3.135007045175968e-003	-2.733725e-001
3.154538295175968e-003	-3.070267e-001
3.174069545175968e-003	-3.361079e-001
3.193600795175967e-003	-3.601790e-001
3.213132045175967e-003	-3.788777e-001
3.232663295175966e-003	-3.919229e-001
3.252194545175966e-003	-3.991183e-001
3.271725795175966e-003	-4.003557e-001
3.291257045175965e-003	-3.956166e-001
3.310788295175965e-003	-3.849721e-001
3.330319545175964e-003	-3.685824e-001
3.349850795175964e-003	-3.466940e-001
3.369382045175963e-003	-3.196361e-001
3.388913295175963e-003	-2.878157e-001
3.408444545175963e-003	-2.517115e-001
3.427975795175962e-003	-2.118663e-001
3.447507045175962e-003	-1.688797e-001
