v3	Ic(Q2)
0.000000000000000e+000	-7.631417e-004
1.000000000000000e-002	4.946151e-004
2.000000000000000e-002	1.588395e-003
3.000000000000000e-002	2.506806e-003
4.000000000000000e-002	3.250480e-003
5.000000000000000e-002	3.831902e-003
6.000000000000001e-002	4.272286e-003
7.000000000000001e-002	4.596984e-003
8.000000000000000e-002	4.831264e-003
9.000000000000000e-002	4.997534e-003
9.999999999999999e-002	5.114115e-003
1.100000000000000e-001	5.195169e-003
1.200000000000000e-001	5.251210e-003
1.300000000000000e-001	5.289835e-003
1.400000000000000e-001	5.316425e-003
1.500000000000000e-001	5.334744e-003
1.600000000000000e-001	5.347399e-003
1.700000000000000e-001	5.356184e-003
1.800000000000000e-001	5.362331e-003
1.900000000000000e-001	5.366681e-003
2.000000000000000e-001	5.369808e-003
2.100000000000001e-001	5.372103e-003
2.200000000000001e-001	5.373833e-003
2.300000000000001e-001	5.375178e-003
2.400000000000001e-001	5.376261e-003
2.500000000000001e-001	5.377167e-003
2.600000000000001e-001	5.377952e-003
2.700000000000001e-001	5.378656e-003
2.800000000000001e-001	5.379303e-003
2.900000000000001e-001	5.379913e-003
3.000000000000001e-001	5.380497e-003
3.100000000000001e-001	5.381064e-003
3.200000000000001e-001	5.381618e-003
3.300000000000001e-001	5.382165e-003
3.400000000000001e-001	5.382706e-003
3.500000000000001e-001	5.383243e-003
3.600000000000002e-001	5.383778e-003
3.700000000000002e-001	5.384311e-003
3.800000000000002e-001	5.384843e-003
3.900000000000002e-001	5.385374e-003
4.000000000000002e-001	5.385905e-003
4.100000000000002e-001	5.386435e-003
4.200000000000002e-001	5.386965e-003
4.300000000000002e-001	5.387495e-003
4.400000000000002e-001	5.388025e-003
4.500000000000002e-001	5.388555e-003
4.600000000000002e-001	5.389084e-003
4.700000000000003e-001	5.389614e-003
4.800000000000003e-001	5.390143e-003
4.900000000000003e-001	5.390672e-003
5.000000000000002e-001	5.391202e-003
5.100000000000002e-001	5.391731e-003
5.200000000000002e-001	5.392261e-003
5.300000000000003e-001	5.392790e-003
5.400000000000003e-001	5.393320e-003
5.500000000000003e-001	5.393849e-003
5.600000000000003e-001	5.394379e-003
5.700000000000003e-001	5.394908e-003
5.800000000000003e-001	5.395438e-003
5.900000000000003e-001	5.395967e-003
6.000000000000003e-001	5.396497e-003
6.100000000000003e-001	5.397026e-003
6.200000000000003e-001	5.397555e-003
6.300000000000003e-001	5.398085e-003
6.400000000000004e-001	5.398614e-003
6.500000000000004e-001	5.399144e-003
6.600000000000004e-001	5.399673e-003
6.700000000000004e-001	5.400203e-003
6.800000000000004e-001	5.400732e-003
6.900000000000004e-001	5.401262e-003
7.000000000000004e-001	5.401791e-003
7.100000000000004e-001	5.402321e-003
7.200000000000004e-001	5.402850e-003
7.300000000000004e-001	5.403379e-003
7.400000000000004e-001	5.403908e-003
7.500000000000004e-001	5.404438e-003
7.600000000000005e-001	5.404967e-003
7.700000000000005e-001	5.405497e-003
7.800000000000005e-001	5.406026e-003
7.900000000000005e-001	5.406556e-003
8.000000000000005e-001	5.407085e-003
8.100000000000005e-001	5.407615e-003
8.200000000000005e-001	5.408144e-003
8.300000000000005e-001	5.408673e-003
8.400000000000005e-001	5.409203e-003
8.500000000000005e-001	5.409732e-003
8.600000000000005e-001	5.410261e-003
8.700000000000006e-001	5.410791e-003
8.800000000000006e-001	5.411320e-003
8.900000000000006e-001	5.411849e-003
9.000000000000006e-001	5.412379e-003
9.100000000000006e-001	5.412908e-003
