v2	V(vout)
0.000000000000000e+000	5.000000e+000
1.000000000000000e-002	5.000000e+000
2.000000000000000e-002	5.000000e+000
3.000000000000000e-002	5.000000e+000
4.000000000000000e-002	5.000000e+000
5.000000000000000e-002	5.000000e+000
6.000000000000001e-002	5.000000e+000
7.000000000000001e-002	5.000000e+000
8.000000000000000e-002	5.000000e+000
9.000000000000000e-002	5.000000e+000
9.999999999999999e-002	5.000000e+000
1.100000000000000e-001	5.000000e+000
1.200000000000000e-001	5.000000e+000
1.300000000000000e-001	5.000000e+000
1.400000000000000e-001	5.000000e+000
1.500000000000000e-001	5.000000e+000
1.600000000000000e-001	5.000000e+000
1.700000000000000e-001	5.000000e+000
1.800000000000000e-001	5.000000e+000
1.900000000000000e-001	5.000000e+000
2.000000000000000e-001	5.000000e+000
2.100000000000001e-001	5.000000e+000
2.200000000000001e-001	5.000000e+000
2.300000000000001e-001	5.000000e+000
2.400000000000001e-001	5.000000e+000
2.500000000000001e-001	5.000000e+000
2.600000000000001e-001	5.000000e+000
2.700000000000001e-001	5.000000e+000
2.800000000000001e-001	5.000000e+000
2.900000000000001e-001	4.999999e+000
3.000000000000001e-001	4.999999e+000
3.100000000000001e-001	4.999998e+000
3.200000000000001e-001	4.999998e+000
3.300000000000001e-001	4.999996e+000
3.400000000000001e-001	4.999995e+000
3.500000000000001e-001	4.999992e+000
3.600000000000002e-001	4.999989e+000
3.700000000000002e-001	4.999983e+000
3.800000000000002e-001	4.999975e+000
3.900000000000002e-001	4.999963e+000
4.000000000000002e-001	4.999946e+000
4.100000000000002e-001	4.999920e+000
4.200000000000002e-001	4.999882e+000
4.300000000000002e-001	4.999826e+000
4.400000000000002e-001	4.999744e+000
4.500000000000002e-001	4.999624e+000
4.600000000000002e-001	4.999446e+000
4.700000000000003e-001	4.999186e+000
4.800000000000003e-001	4.998801e+000
4.900000000000003e-001	4.998235e+000
5.000000000000002e-001	4.997403e+000
5.100000000000002e-001	4.996177e+000
5.200000000000002e-001	4.994374e+000
5.300000000000003e-001	4.991719e+000
